"","ccode1","ccode2","year","DR_at_1","DR_at_2","period","dipSym","dipSymNext","time.curr","region1","region2","sameregion","region"
"3",2,20,1930,0,2,"1","x","sym",0,1,1,"yes",1
"4",2,20,1935,2,2,"1","sym","sym",0,1,1,"yes",1
"5",2,20,1940,2,2,"1","sym","sym",5,1,1,"yes",1
"6",2,20,1950,9,9,"2","sym","sym",15,1,1,"yes",1
"7",2,20,1955,9,9,"2","sym","sym",20,1,1,"yes",1
"8",2,20,1960,9,9,"2","sym","sym",25,1,1,"yes",1
"9",2,20,1965,9,9,"2","sym","sym",30,1,1,"yes",1
"10",2,20,1970,3,3,"3","sym","sym",35,1,1,"yes",1
"11",2,20,1975,3,3,"3","sym","sym",40,1,1,"yes",1
"12",2,20,1980,3,3,"3","sym","sym",45,1,1,"yes",1
"13",2,20,1985,3,3,"3","sym","sym",50,1,1,"yes",1
"14",2,20,1990,3,3,"3","sym","sym",55,1,1,"yes",1
"15",2,20,1995,3,3,"4","sym","sym",60,1,1,"yes",1
"16",2,20,2000,3,3,"4","sym","sym",65,1,1,"yes",1
"18",2,31,1975,3,3,"3","sym","sym",0,1,1,"yes",1
"19",2,31,1980,3,3,"3","sym","asym",5,1,1,"yes",1
"20",2,31,1985,1,3,"3","asym","sym",0,1,1,"yes",1
"21",2,31,1990,3,3,"3","sym","sym",0,1,1,"yes",1
"22",2,31,1995,3,3,"4","sym","asym",5,1,1,"yes",1
"23",2,31,2000,1,3,"4","asym","sym",0,1,1,"yes",1
"25",2,40,1904,9,9,"1","sym","sym",0,1,1,"yes",1
"26",2,40,1909,9,9,"1","sym","sym",5,1,1,"yes",1
"27",2,40,1914,9,9,"1","sym","sym",10,1,1,"yes",1
"28",2,40,1920,9,9,"1","sym","sym",16,1,1,"yes",1
"29",2,40,1925,9,9,"1","sym","sym",21,1,1,"yes",1
"30",2,40,1930,9,9,"1","sym","sym",26,1,1,"yes",1
"31",2,40,1935,3,3,"1","sym","sym",31,1,1,"yes",1
"32",2,40,1940,3,3,"1","sym","sym",36,1,1,"yes",1
"33",2,40,1950,9,9,"2","sym","sym",46,1,1,"yes",1
