StateAbb,CCode,StateNme,StYear,StMonth,StDay,EndYear,EndMonth,EndDay,Region,RegionName
USA,2,United States of America,1816,1,1,2008,6,30,1,Americas
CAN,20,Canada,1920,1,10,2008,6,30,1,Americas
BHM,31,Bahamas,1973,7,10,2008,6,30,1,Americas
CUB,40,Cuba,1902,5,20,1906,9,25,1,Americas
CUB,40,Cuba,1909,1,23,2008,6,30,1,Americas
HAI,41,Haiti,1859,1,1,1915,7,28,1,Americas
HAI,41,Haiti,1934,8,15,2008,6,30,1,Americas
DOM,42,Dominican Republic,1894,1,1,1916,11,29,1,Americas
DOM,42,Dominican Republic,1924,9,29,2008,6,30,1,Americas
JAM,51,Jamaica,1962,8,6,2008,6,30,1,Americas
TRI,52,Trinidad and Tobago,1962,8,31,2008,6,30,1,Americas
BAR,53,Barbados,1966,11,30,2008,6,30,1,Americas
DMA,54,Dominica,1978,11,3,2008,6,30,1,Americas
GRN,55,Grenada,1974,2,7,2008,6,30,1,Americas
SLU,56,St. Lucia,1979,2,22,2008,6,30,1,Americas
SVG,57,St. Vincent and the Grenadines,1979,10,27,2008,6,30,1,Americas
AAB,58,Antigua & Barbuda,1981,11,1,2008,6,30,1,Americas
SKN,60,St. Kitts and Nevis,1983,9,19,2008,6,30,1,Americas
MEX,70,Mexico,1831,1,1,2008,6,30,1,Americas
BLZ,80,Belize,1981,9,21,2008,6,30,1,Americas
GUA,90,Guatemala,1868,1,1,2008,6,30,1,Americas
HON,91,Honduras,1899,1,1,2008,6,30,1,Americas
SAL,92,El Salvador,1875,1,1,2008,6,30,1,Americas
NIC,93,Nicaragua,1900,1,1,2008,6,30,1,Americas
COS,94,Costa Rica,1920,1,1,2008,6,30,1,Americas
PAN,95,Panama,1903,11,3,2008,6,30,1,Americas
COL,100,Colombia,1831,1,1,2008,6,30,1,Americas
VEN,101,Venezuela,1841,1,1,2008,6,30,1,Americas
GUY,110,Guyana,1966,5,26,2008,6,30,1,Americas
SUR,115,Suriname,1975,11,25,2008,6,30,1,Americas
